国家,代码
阿尔巴尼亚,AL
阿尔及利亚,DZ
阿根廷,AR
阿拉伯联合酋长国,AE
阿鲁巴,AW
阿曼,OM
阿塞拜疆,AZ
埃及,EG
爱尔兰,IE
爱沙尼亚,EE
安哥拉,AO
奥地利,AT
澳大利亚,AU
巴布亚新几内亚,PG
巴哈马,BS
巴基斯坦,PK
巴拉圭,PY
巴拿马,PA
巴西,BR
白俄罗斯,BY
保加利亚,BG
比利时,BE
冰岛,IS
波多黎各,PR
波兰,PL
波斯尼亚和黑塞哥维那,BA
玻利维亚,BO
伯利兹,BZ
博茨瓦纳,BW
布基纳法索,BF
丹麦,DK
德国,DE
多哥,TG
俄罗斯,RU
厄瓜多尔,EC
法国,FR
菲律宾,PH
芬兰,FI
佛得角,CV
哥伦比亚,CO
哥斯达黎加,CR
海地,HT
韩国,KR
荷兰,NL
洪都拉斯,HN
几内亚比绍,GW
加拿大,CA
加纳,GH
加蓬,GA
柬埔寨,KH
捷克,CZ
津巴布韦,ZW
喀麦隆,CM
卡塔尔,QA
科威特,KW
克罗地亚,HR
肯尼亚,KE
拉脱维亚,LV
老挝,LA
黎巴嫩,LB
立陶宛,LT
卢森堡,LU
罗马尼亚,RO
马耳他,MT
马来西亚,MY
马里,ML
马其顿,MK
毛里求斯,MU
美国,US
孟加拉国,BD
秘鲁,PE
缅甸,MM
摩尔多瓦,MD
摩洛哥,MA
莫桑比克,MZ
墨西哥,MX
纳米比亚,NA
南非,ZA
尼泊尔,NP
尼加拉瓜,NI
尼日尔,NE
尼日利亚,NG
挪威,NO
葡萄牙,PT
日本,JP
瑞典,SE
瑞士,CH
萨尔瓦多,SV
塞内加尔,SN
塞浦路斯,CY
沙特阿拉伯,SA
斯里兰卡,LK
斯洛伐克,SK
斯洛文尼亚,SI
塔吉克斯坦,TJ
台湾,TW
泰国,TH
坦桑尼亚,TZ
特立尼达和多巴哥,TT
突尼斯,TN
土耳其,TR
土库曼斯坦,TM
危地马拉,GT
委内瑞拉,VE
乌干达,UG
乌克兰,UA
乌拉圭,UY
乌兹别克斯坦,UZ
西班牙,ES
希腊,GR
香港,HK
新加坡,SG
新西兰,NZ
匈牙利,HU
牙买加,JM
亚美尼亚,AM
也门,YE
伊拉克,IQ
伊朗,IR
以色列,IL
意大利,IT
印度,IN
印尼,ID
英国,UK
约旦,JO
越南,VN
赞比亚,ZM
智利,CL
中国,CN
